seed,n_consecutive_deviations,n_permutations,n_samples,update_interval,lpd (ht),lpd (nb),acc (ht-no dd),acc (nb-no dd),acc (ht-dd),acc (nb-dd),f1 (ht-no dd),f1 (nb-no dd),f1 (ht-dd),f1 (nb-dd),mtr,mtfa,mtd,mdr,drifts
1733371894,1,10,500,50,0.0028282744627106,0.0029028117106298,0.3324775353016688,0.3364114456085138,0.6718704708269494,0.6847488508840945,0.302549740639592,0.3063176653290411,0.6709405295076518,0.6840413496134606,3.5738058551617877,196.5593220338983,55.0,0.0,"[711, 957, 1061, 1235, 1304, 1493, 1634, 1729, 2165, 2914, 3147, 3607, 4031, 4609, 5306, 5916, 6016, 6247, 6438, 6537, 6591, 6711, 7153, 7249, 7822, 8161, 8289, 8750, 8811, 9060, 9453, 9704, 9802, 9880, 10095, 10438, 10770, 10942, 11195, 11338, 11503, 11573, 11805, 11895, 11933, 11993, 12056, 12096, 12180, 12606, 12801, 12870, 13040, 13120, 13271, 13341, 13518, 13843, 13893, 13911, 13986, 14083, 14219, 14307, 14362, 14435, 14542, 14880, 15129, 15183, 15473, 15588, 15617, 16011, 16065, 16245, 16473, 16618, 17000, 17130, 17333, 17516, 17595, 17734, 17749, 17936, 18512, 18910, 19255, 19407, 19469, 19543, 19778, 19854, 19938, 20033, 20307, 20441, 20693, 20770, 20871, 20885, 21255, 21613, 21837, 22083, 22280, 22357, 22447, 22518, 22602, 22932, 22989, 23165, 23489, 23568, 23701, 23789, 23826, 23905]"
1733371915,1,10,500,100,0.0037074791872796,0.0037779635824751,0.3324775353016688,0.3364114456085138,0.6809805789059589,0.6915400223611744,0.302549740639592,0.3063176653290411,0.6801647129371723,0.6907304670615941,1.3154450261780104,251.25,191.0,0.0,"[711, 1061, 1183, 1634, 1960, 2165, 2914, 3147, 3607, 4031, 4466, 4609, 5145, 5306, 5482, 5916, 6049, 6438, 7249, 7792, 8251, 9060, 9802, 10095, 10438, 10770, 10923, 11195, 11551, 11805, 11895, 11933, 11993, 12047, 12093, 12194, 12665, 12801, 12948, 13120, 13518, 13884, 13911, 13986, 14219, 14307, 14435, 14542, 14900, 15129, 15296, 15575, 15597, 16106, 16245, 16473, 16618, 16818, 16985, 17001, 17130, 17333, 17516, 17669, 17745, 17919, 18282, 18461, 18592, 19018, 19255, 19407, 19543, 19778, 20069, 20292, 20308, 20441, 20693, 20779, 20885, 21152, 21255, 21837, 22083, 22280, 22447, 22602, 22932, 23001, 23493, 23568, 23701, 23826]"
1733371935,1,10,500,250,0.0053119968431283,0.005369239500844,0.3324775353016688,0.3364114456085138,0.6936933206343948,0.7015197316659075,0.302549740639592,0.3063176653290411,0.6926484604801165,0.7004369535954592,1.729072907290729,349.27272727272725,202.0,0.0,"[774, 1060, 1634, 2165, 2572, 2914, 3223, 3577, 4466, 4925, 5306, 5772, 6068, 6537, 6942, 7249, 7569, 7829, 8811, 9206, 9704, 10398, 10770, 11131, 11551, 11805, 11895, 11962, 12047, 12144, 12337, 12926, 13341, 13884, 13911, 13986, 14230, 14504, 14918, 15575, 15597, 16245, 16549, 16820, 16985, 17001, 17327, 17729, 17749, 18461, 19018, 19529, 19724, 20069, 20308, 20441, 20770, 21112, 21800, 22083, 22133, 22404, 22683, 22987, 23009, 23109, 23551, 23826]"
1733371956,1,10,1000,50,0.0045529028923786,0.0045991525555896,0.3324775353016688,0.3364114456085138,0.6830510580148247,0.6905461923889188,0.302549740639592,0.3063176653290411,0.6816643944057179,0.6889913526013669,1.7221092278719397,304.81333333333333,177.0,0.0,"[1235, 1287, 1478, 2899, 3501, 3723, 4077, 4524, 5990, 6056, 6816, 7516, 7730, 8263, 8711, 9019, 9264, 9516, 9571, 9644, 10377, 10762, 10884, 10938, 11869, 11933, 12073, 12143, 12219, 12392, 12421, 12506, 12573, 12694, 12766, 13764, 13916, 13990, 14205, 14444, 14583, 14719, 15381, 15591, 15973, 16048, 16146, 16792, 17747, 17839, 17965, 18113, 18248, 18386, 18481, 19016, 19181, 19258, 19503, 19990, 20224, 20278, 20649, 20792, 20873, 21270, 21891, 22124, 22359, 22504, 22751, 22992, 23356, 23665, 23830, 23993, 24096]"
1733371981,1,10,1000,100,0.0044554613735086,0.004509451081917,0.3324775353016688,0.3364114456085138,0.6844589838088534,0.6926580810799619,0.302549740639592,0.3063176653290411,0.6827881838962123,0.6911447410549713,1.6660063100741067,294.8831168831169,177.0,0.0,"[1287, 1478, 2540, 2704, 2899, 3501, 3723, 4524, 5855, 5990, 6056, 7059, 7516, 7730, 8263, 8711, 9019, 9264, 9516, 9644, 9777, 10054, 10377, 10762, 10938, 11115, 11337, 11472, 11856, 11933, 12073, 12143, 12219, 12384, 12395, 12493, 12551, 12644, 12694, 12766, 13151, 13764, 13916, 13990, 14205, 14444, 14583, 14719, 14998, 15381, 15680, 15973, 16792, 17486, 17839, 18113, 18245, 18436, 18951, 19258, 19503, 19885, 20187, 20354, 20686, 21270, 21446, 21640, 21780, 21891, 22124, 22473, 22751, 22951, 23014, 23356, 23665, 23841, 23993]"
1733372005,1,10,1000,250,0.0054802993912791,0.0055145917015197,0.3324775353016688,0.3364114456085138,0.6832166963435339,0.6893453145057766,0.302549740639592,0.3063176653290411,0.6815260391553952,0.687613395877617,2.0743575724439585,367.1612903225807,177.0,0.0,"[1287, 1635, 2235, 3501, 4077, 4524, 4751, 5032, 5645, 6037, 6728, 7059, 7516, 8083, 9264, 9516, 9777, 10054, 10387, 10884, 11269, 11472, 11856, 11933, 12083, 12143, 12305, 12418, 12493, 12573, 12766, 13178, 13764, 13916, 13990, 14205, 14426, 14497, 14719, 14998, 15381, 15591, 16008, 16403, 16844, 17747, 18113, 18481, 19016, 19503, 19908, 20187, 20642, 20714, 21187, 21446, 21780, 22042, 22473, 22751, 22992, 23610, 23990, 24051]"
1733372029,1,20,100,50,0.0017085286868714,0.0017821457218533,0.3324775353016688,0.3364114456085138,0.6553894571203777,0.6732369870388007,0.302549740639592,0.3063176653290411,0.6560809466658875,0.6739194365008072,18.251336898395724,127.75935828877006,7.0,0.0,"[232, 453, 602, 660, 810, 922, 1054, 1132, 1358, 1439, 1620, 1690, 1812, 1902, 2410, 2874, 3022, 3123, 3370, 3499, 3686, 3852, 3911, 4033, 4898, 4955, 5068, 5147, 5299, 5397, 5442, 5722, 5825, 5894, 5956, 6010, 6039, 6120, 6132, 6661, 6744, 6859, 6993, 7128, 7275, 7501, 7504, 7603, 7696, 7756, 7811, 7907, 8018, 8193, 8707, 8802, 8994, 9323, 9902, 10294, 10472, 10694, 10770, 10832, 10961, 11101, 11176, 11255, 11787, 11810, 11974, 12106, 12148, 12207, 12250, 12300, 12377, 12400, 12478, 12569, 12689, 12772, 12871, 13028, 13318, 13403, 13433, 13534, 13612, 13709, 13787, 13860, 13881, 14035, 14112, 14190, 14210, 14285, 14418, 14549, 14618, 14749, 14848, 14975, 15055, 15215, 15453, 15585, 15606, 15665, 15685, 15944, 15997, 16089, 16267, 16438, 16527, 16544, 16613, 16712, 16849, 16881, 16933, 17000, 17094, 17117, 17208, 17373, 17383, 17801, 17826, 17936, 18018, 18093, 18167, 18455, 18459, 18499, 18558, 18562, 18691, 18747, 18894, 19140, 19255, 19332, 19367, 19428, 19537, 19619, 19627, 19741, 19805, 19858, 19938, 19963, 20023, 20090, 20166, 20286, 20372, 20596, 20678, 20817, 20876, 21275, 21305, 21375, 21403, 21425, 21481, 21520, 21582, 21683, 21977, 22212, 22361, 22492, 22912, 22990, 23091, 23166, 23262, 23438, 23522, 23638, 23851, 23983, 24123]"
1733372046,1,20,100,100,0.0025120805655158,0.0025894590548398,0.3324775353016688,0.3364114456085138,0.6766325727773407,0.6911673361215785,0.302549740639592,0.3063176653290411,0.6770009832882825,0.6918024097493669,4.115762273901809,176.9777777777778,43.0,0.0,"[244, 294, 453, 603, 660, 821, 922, 1054, 1458, 1690, 1812, 2284, 2410, 2626, 2874, 3022, 3122, 3370, 3499, 3852, 4622, 4769, 4901, 5147, 5482, 5722, 5825, 5894, 6009, 6053, 6106, 6661, 6777, 6993, 7128, 7275, 7501, 7504, 7605, 7723, 7756, 8193, 8565, 8706, 8994, 9323, 9752, 9902, 10472, 10694, 11101, 11694, 11810, 11974, 12118, 12247, 12300, 12401, 12513, 12784, 12982, 13092, 13329, 13433, 13534, 13663, 13845, 13888, 14071, 14112, 14216, 14326, 14397, 14548, 14685, 14812, 15213, 15464, 15585, 15606, 15706, 15944, 15996, 16103, 16267, 16469, 16613, 16717, 16849, 16888, 17000, 17106, 17156, 17373, 17383, 17456, 17743, 17851, 17967, 18088, 18459, 18476, 18562, 18747, 18894, 19143, 19255, 19357, 19537, 19669, 19857, 19959, 20086, 20296, 20327, 20375, 20469, 20680, 20817, 21264, 21375, 21403, 21518, 21974, 22212, 22361, 22541, 22692, 22753, 22912, 23048, 23094, 23301, 23438, 23633, 23819, 24136]"
1733372064,1,20,100,250,0.0056582311896972,0.0057145223404695,0.3324775353016688,0.3364114456085138,0.6946043314422957,0.7021408753985672,0.302549740639592,0.3063176653290411,0.6936047476382919,0.7011384558808925,1.01835824809861,375.7741935483871,369.0,0.0,"[140, 244, 660, 1160, 1458, 1690, 2535, 3122, 3499, 3911, 4621, 4898, 5482, 5825, 5894, 6010, 6053, 6098, 6172, 6661, 7001, 7275, 7540, 7756, 8566, 9324, 10472, 10764, 11101, 11771, 11810, 11974, 12300, 12784, 13043, 13433, 13845, 13888, 14397, 14676, 15215, 15585, 15596, 16469, 17000, 17156, 17412, 17851, 18459, 18476, 18567, 18964, 19367, 19669, 20086, 20350, 20876, 21264, 21974, 22575, 22911, 22990, 23171, 23438]"
1733372082,1,20,250,50,0.0021581383542541,0.0022307395697598,0.3324775353016688,0.3364114456085138,0.6648308418568056,0.6799453393515259,0.302549740639592,0.3063176653290411,0.6652289131681436,0.6802346886747004,1.7912331701346391,154.04605263157896,86.0,0.0,"[443, 708, 1066, 1167, 1534, 1630, 1770, 1889, 2059, 2149, 3164, 3781, 3874, 4290, 4578, 4875, 4903, 4967, 5029, 5297, 5377, 5463, 6021, 6160, 6245, 6480, 6589, 6893, 7009, 7066, 7160, 7271, 7512, 7751, 7781, 7887, 7982, 8047, 8343, 8396, 8700, 9400, 9480, 10029, 10467, 10587, 10717, 10944, 11252, 11367, 11755, 11823, 11846, 11921, 11960, 12303, 12356, 12491, 12546, 12623, 12681, 12780, 12934, 13004, 13154, 13193, 13560, 13630, 13847, 13874, 13969, 14114, 14302, 14435, 14463, 14603, 14670, 14880, 14955, 15099, 15223, 15395, 15586, 15815, 15849, 15978, 16003, 16094, 16235, 16319, 16447, 16537, 16628, 17000, 17084, 17178, 17251, 17383, 17487, 17729, 17782, 17916, 17968, 18066, 18179, 18248, 18317, 18462, 18502, 18508, 18572, 18660, 18712, 18993, 19220, 19293, 19514, 19575, 19681, 19688, 19788, 19917, 20019, 20128, 20275, 20367, 20432, 20544, 20831, 21008, 21063, 21235, 21322, 21433, 21561, 21598, 21668, 21722, 21969, 22083, 22362, 22642, 22766, 22859, 22906, 22981, 23113, 23241, 23412, 23451, 23559, 23624, 23772, 23858]"
1733372101,1,20,250,100,0.0026309309348228,0.0027137500991775,0.3324775353016688,0.3364114456085138,0.6771294877634685,0.6919127086007703,0.302549740639592,0.3063176653290411,0.677264568490477,0.6919494452293055,4.759077927376581,180.84496124031008,38.0,0.0,"[443, 707, 810, 941, 1066, 1261, 1510, 1682, 1889, 2060, 2362, 2553, 2822, 2969, 3119, 4290, 4578, 4875, 4903, 5301, 5495, 5878, 5951, 6109, 6160, 6281, 6431, 6723, 7009, 7160, 7271, 7512, 7722, 7755, 7887, 7994, 8343, 8810, 9400, 9878, 10029, 10467, 10587, 10717, 10944, 11048, 11253, 11367, 11613, 11744, 11797, 11846, 11960, 12082, 12303, 12356, 12491, 12643, 12780, 12934, 13134, 13193, 13560, 13847, 13874, 13928, 14066, 14428, 14463, 14603, 14712, 14860, 14955, 15099, 15223, 15395, 15586, 15783, 15815, 15849, 15978, 16003, 16235, 16290, 16447, 16572, 16658, 16879, 16991, 17033, 17170, 17252, 17266, 17383, 17487, 17853, 17916, 18066, 18179, 18469, 18508, 18656, 18813, 18992, 19220, 19514, 20019, 20128, 20305, 20367, 20544, 20802, 21039, 21235, 21561, 21598, 21736, 21969, 22083, 22362, 22635, 22766, 22869, 22981, 23224, 23268, 23412, 23451, 23576, 23652, 23772]"
1733372119,1,20,250,250,0.0047499551396193,0.0048073764269051,0.3324775353016688,0.3364114456085138,0.6887241707731169,0.6969646776264028,0.302549740639592,0.3063176653290411,0.6873913749276137,0.6955469657372939,0.7296656015691734,315.94520547945206,433.0,0.0,"[708, 1077, 1510, 1687, 1977, 2560, 2897, 3164, 3327, 4578, 4895, 5495, 5880, 5951, 6282, 6589, 7009, 7512, 7765, 7791, 8047, 8343, 8810, 9254, 9878, 10436, 10717, 10944, 11253, 11755, 11823, 11846, 11960, 12356, 12643, 12934, 13193, 13560, 13847, 13874, 13928, 14461, 14576, 14983, 15291, 15586, 15841, 16094, 16447, 16735, 17000, 17252, 17267, 17552, 17916, 18177, 18502, 18656, 19514, 20019, 20367, 20525, 20805, 21063, 21322, 21585, 21970, 22132, 22478, 22859, 22906, 23046, 23340, 23645, 23772]"
1733372138,1,20,500,50,0.0028282744627106,0.0029028117106298,0.3324775353016688,0.3364114456085138,0.6718704708269494,0.6847488508840945,0.302549740639592,0.3063176653290411,0.6709405295076518,0.6840413496134606,3.5738058551617877,196.5593220338983,55.0,0.0,"[711, 957, 1061, 1235, 1304, 1493, 1634, 1729, 2165, 2914, 3147, 3607, 4031, 4609, 5306, 5916, 6016, 6247, 6438, 6537, 6591, 6711, 7153, 7249, 7822, 8161, 8289, 8750, 8811, 9060, 9453, 9704, 9802, 9880, 10095, 10438, 10770, 10942, 11195, 11338, 11503, 11573, 11805, 11895, 11933, 11993, 12056, 12096, 12180, 12606, 12801, 12870, 13040, 13120, 13271, 13341, 13518, 13843, 13893, 13911, 13986, 14083, 14219, 14307, 14362, 14435, 14542, 14880, 15129, 15183, 15473, 15588, 15617, 16011, 16065, 16245, 16473, 16618, 17000, 17130, 17333, 17516, 17595, 17734, 17749, 17936, 18512, 18910, 19255, 19407, 19469, 19543, 19778, 19854, 19938, 20033, 20307, 20441, 20693, 20770, 20871, 20885, 21255, 21613, 21837, 22083, 22280, 22357, 22447, 22518, 22602, 22932, 22989, 23165, 23489, 23568, 23701, 23789, 23826, 23905]"
1733372159,1,20,500,100,0.0037074791872796,0.0037779635824751,0.3324775353016688,0.3364114456085138,0.6809805789059589,0.6915400223611744,0.302549740639592,0.3063176653290411,0.6801647129371723,0.6907304670615941,1.3154450261780104,251.25,191.0,0.0,"[711, 1061, 1183, 1634, 1960, 2165, 2914, 3147, 3607, 4031, 4466, 4609, 5145, 5306, 5482, 5916, 6049, 6438, 7249, 7792, 8251, 9060, 9802, 10095, 10438, 10770, 10923, 11195, 11551, 11805, 11895, 11933, 11993, 12047, 12093, 12194, 12665, 12801, 12948, 13120, 13518, 13884, 13911, 13986, 14219, 14307, 14435, 14542, 14900, 15129, 15296, 15575, 15597, 16106, 16245, 16473, 16618, 16818, 16985, 17001, 17130, 17333, 17516, 17669, 17745, 17919, 18282, 18461, 18592, 19018, 19255, 19407, 19543, 19778, 20069, 20292, 20308, 20441, 20693, 20779, 20885, 21152, 21255, 21837, 22083, 22280, 22447, 22602, 22932, 23001, 23493, 23568, 23701, 23826]"
1733372180,1,20,500,250,0.0053119968431283,0.005369239500844,0.3324775353016688,0.3364114456085138,0.6936933206343948,0.7015197316659075,0.302549740639592,0.3063176653290411,0.6926484604801165,0.7004369535954592,1.729072907290729,349.27272727272725,202.0,0.0,"[774, 1060, 1634, 2165, 2572, 2914, 3223, 3577, 4466, 4925, 5306, 5772, 6068, 6537, 6942, 7249, 7569, 7829, 8811, 9206, 9704, 10398, 10770, 11131, 11551, 11805, 11895, 11962, 12047, 12144, 12337, 12926, 13341, 13884, 13911, 13986, 14230, 14504, 14918, 15575, 15597, 16245, 16549, 16820, 16985, 17001, 17327, 17729, 17749, 18461, 19018, 19529, 19724, 20069, 20308, 20441, 20770, 21112, 21800, 22083, 22133, 22404, 22683, 22987, 23009, 23109, 23551, 23826]"
1733372200,1,20,1000,50,0.0045555918262862,0.0046023792762788,0.3324775353016688,0.3364114456085138,0.6832581059257112,0.6907946498819827,0.302549740639592,0.3063176653290411,0.6819371408171727,0.6893137379682504,1.7221092278719397,304.81333333333333,177.0,0.0,"[1235, 1287, 1478, 2899, 3501, 3723, 4077, 4524, 5990, 6056, 6816, 7516, 7730, 8263, 8711, 9019, 9264, 9516, 9571, 9644, 10377, 10762, 10884, 10938, 11869, 11933, 12073, 12143, 12219, 12392, 12421, 12506, 12573, 12694, 12766, 13764, 13916, 13990, 14205, 14444, 14583, 14719, 15381, 15591, 15973, 16048, 16146, 16792, 17747, 17839, 17965, 18113, 18248, 18386, 18481, 19016, 19041, 19258, 19503, 19990, 20224, 20278, 20649, 20792, 20873, 21270, 21891, 22124, 22359, 22504, 22751, 22992, 23356, 23665, 23830, 23993, 24096]"
1733372225,1,20,1000,100,0.0044554613735086,0.004509451081917,0.3324775353016688,0.3364114456085138,0.6844589838088534,0.6926580810799619,0.302549740639592,0.3063176653290411,0.6827881838962123,0.6911447410549713,1.6660063100741067,294.8831168831169,177.0,0.0,"[1287, 1478, 2540, 2704, 2899, 3501, 3723, 4524, 5855, 5990, 6056, 7059, 7516, 7730, 8263, 8711, 9019, 9264, 9516, 9644, 9777, 10054, 10377, 10762, 10938, 11115, 11337, 11472, 11856, 11933, 12073, 12143, 12219, 12384, 12395, 12493, 12551, 12644, 12694, 12766, 13151, 13764, 13916, 13990, 14205, 14444, 14583, 14719, 14998, 15381, 15680, 15973, 16792, 17486, 17839, 18113, 18245, 18436, 18951, 19258, 19503, 19885, 20187, 20354, 20686, 21270, 21446, 21640, 21780, 21891, 22124, 22473, 22751, 22951, 23014, 23356, 23665, 23841, 23993]"
1733372249,1,20,1000,250,0.0054802993912791,0.0055145917015197,0.3324775353016688,0.3364114456085138,0.6832166963435339,0.6893453145057766,0.302549740639592,0.3063176653290411,0.6815260391553952,0.687613395877617,2.0743575724439585,367.1612903225807,177.0,0.0,"[1287, 1635, 2235, 3501, 4077, 4524, 4751, 5032, 5645, 6037, 6728, 7059, 7516, 8083, 9264, 9516, 9777, 10054, 10387, 10884, 11269, 11472, 11856, 11933, 12083, 12143, 12305, 12418, 12493, 12573, 12766, 13178, 13764, 13916, 13990, 14205, 14426, 14497, 14719, 14998, 15381, 15591, 16008, 16403, 16844, 17747, 18113, 18481, 19016, 19503, 19908, 20187, 20642, 20714, 21187, 21446, 21780, 22042, 22473, 22751, 22992, 23610, 23990, 24051]"
1733372273,1,40,100,50,0.0017085286868714,0.0017821457218533,0.3324775353016688,0.3364114456085138,0.6553894571203777,0.6732369870388007,0.302549740639592,0.3063176653290411,0.6560809466658875,0.6739194365008072,18.251336898395724,127.75935828877006,7.0,0.0,"[232, 453, 602, 660, 810, 922, 1054, 1132, 1358, 1439, 1620, 1690, 1812, 1902, 2410, 2874, 3022, 3123, 3370, 3499, 3686, 3852, 3911, 4033, 4898, 4955, 5068, 5147, 5299, 5397, 5442, 5722, 5825, 5894, 5956, 6010, 6039, 6120, 6132, 6661, 6744, 6859, 6993, 7128, 7275, 7501, 7504, 7603, 7696, 7756, 7811, 7907, 8018, 8193, 8707, 8802, 8994, 9323, 9902, 10294, 10472, 10694, 10770, 10832, 10961, 11101, 11176, 11255, 11787, 11810, 11974, 12106, 12148, 12207, 12250, 12300, 12377, 12400, 12478, 12569, 12689, 12772, 12871, 13028, 13318, 13403, 13433, 13534, 13612, 13709, 13787, 13860, 13881, 14035, 14112, 14190, 14210, 14285, 14418, 14549, 14618, 14749, 14848, 14975, 15055, 15215, 15453, 15585, 15606, 15665, 15685, 15944, 15997, 16089, 16267, 16438, 16527, 16544, 16613, 16712, 16849, 16881, 16933, 17000, 17094, 17117, 17208, 17373, 17383, 17801, 17826, 17936, 18018, 18093, 18167, 18455, 18459, 18499, 18558, 18562, 18691, 18747, 18894, 19140, 19255, 19332, 19367, 19428, 19537, 19619, 19627, 19741, 19805, 19858, 19938, 19963, 20023, 20090, 20166, 20286, 20372, 20596, 20678, 20817, 20876, 21275, 21305, 21375, 21403, 21425, 21481, 21520, 21582, 21683, 21977, 22212, 22361, 22492, 22912, 22990, 23091, 23166, 23262, 23438, 23522, 23638, 23851, 23983, 24123]"
1733372291,1,40,100,100,0.0024499683512479,0.0025233224682477,0.3324775353016688,0.3364114456085138,0.6754731044763759,0.6896765911631951,0.302549740639592,0.3063176653290411,0.6757454867116,0.6901705645280263,4.0262891809909,173.1304347826087,43.0,0.0,"[244, 294, 453, 603, 660, 821, 922, 1054, 1458, 1690, 1812, 2284, 2410, 2626, 2874, 3022, 3122, 3370, 3499, 3852, 4622, 4769, 4901, 5147, 5482, 5722, 5825, 5894, 6009, 6053, 6061, 6132, 6395, 6661, 6777, 6993, 7128, 7275, 7501, 7504, 7605, 7723, 7756, 8193, 8565, 8706, 8994, 9323, 9752, 9902, 10472, 10694, 11101, 11694, 11810, 11974, 12118, 12247, 12300, 12401, 12513, 12784, 12982, 13092, 13329, 13433, 13534, 13663, 13845, 13888, 14071, 14112, 14216, 14326, 14397, 14548, 14685, 14812, 15213, 15464, 15585, 15606, 15706, 15944, 15996, 16103, 16267, 16469, 16613, 16717, 16849, 16888, 17000, 17106, 17156, 17373, 17383, 17456, 17743, 17851, 17967, 18088, 18459, 18476, 18562, 18747, 18894, 19143, 19255, 19357, 19537, 19669, 19857, 19959, 20086, 20296, 20327, 20375, 20404, 20533, 20678, 20817, 21264, 21375, 21403, 21518, 21974, 22212, 22361, 22541, 22692, 22753, 22912, 23048, 23094, 23301, 23438, 23633, 23819, 24136]"
1733372308,1,40,100,250,0.0055769151135418,0.0056272436826497,0.3324775353016688,0.3364114456085138,0.6949770176818916,0.7021822849807445,0.302549740639592,0.3063176653290411,0.6939946162895247,0.7011853039589472,1.0021938314621242,369.8095238095238,369.0,0.0,"[140, 244, 660, 1160, 1458, 1690, 2535, 3122, 3499, 3911, 4621, 4898, 5482, 5825, 5894, 6010, 6053, 6061, 6172, 6661, 7001, 7275, 7540, 7756, 8566, 9324, 10472, 10764, 11101, 11771, 11810, 11974, 12300, 12784, 13043, 13433, 13845, 13888, 14397, 14676, 15215, 15585, 15596, 16469, 16613, 17000, 17156, 17412, 17851, 18459, 18476, 18562, 18964, 19367, 19669, 20086, 20350, 20876, 21264, 21974, 22575, 22911, 22990, 23171, 23438]"
1733372326,1,40,250,50,0.0021581383542541,0.0022307395697598,0.3324775353016688,0.3364114456085138,0.6648308418568056,0.6799453393515259,0.302549740639592,0.3063176653290411,0.6652289131681436,0.6802346886747004,1.7912331701346391,154.04605263157896,86.0,0.0,"[443, 708, 1066, 1167, 1534, 1630, 1770, 1889, 2059, 2149, 3164, 3781, 3874, 4290, 4578, 4875, 4903, 4967, 5029, 5297, 5377, 5463, 6021, 6160, 6245, 6480, 6589, 6893, 7009, 7066, 7160, 7271, 7512, 7751, 7781, 7887, 7982, 8047, 8343, 8396, 8700, 9400, 9480, 10029, 10467, 10587, 10717, 10944, 11252, 11367, 11755, 11823, 11846, 11921, 11960, 12303, 12356, 12491, 12546, 12623, 12681, 12780, 12934, 13004, 13154, 13193, 13560, 13630, 13847, 13874, 13969, 14114, 14302, 14435, 14463, 14603, 14670, 14880, 14955, 15099, 15223, 15395, 15586, 15815, 15849, 15978, 16003, 16094, 16235, 16319, 16447, 16537, 16628, 17000, 17084, 17178, 17251, 17383, 17487, 17729, 17782, 17916, 17968, 18066, 18179, 18248, 18317, 18462, 18502, 18508, 18572, 18660, 18712, 18993, 19220, 19293, 19514, 19575, 19681, 19688, 19788, 19917, 20019, 20128, 20275, 20367, 20432, 20544, 20831, 21008, 21063, 21235, 21322, 21433, 21561, 21598, 21668, 21722, 21969, 22083, 22362, 22642, 22766, 22859, 22906, 22981, 23113, 23241, 23412, 23451, 23559, 23624, 23772, 23858]"
